id,label
gempa_0006,1
gempa_0011,1
gempa_0008,1
gempa_0029,1
gempa_0021,1
gempa_0039,1
gempa_0041,1
gempa_0045,1
gempa_0042,1
gempa_0066,1
gempa_0061,1
gempa_0054,1
gempa_0083,1
gempa_0075,1
gempa_0082,1
gempa_0104,1
gempa_0089,1
gempa_0101,1
gempa_0108,1
gempa_0110,1
gempa_0109,1
gempa_0145,1
gempa_0144,1
gempa_0134,1
gempa_0153,1
gempa_0150,1
gempa_0165,1
gempa_0184,1
gempa_0181,1
gempa_0185,1
gempa_0195,1
gempa_0201,1
gempa_0206,1
gempa_0225,1
gempa_0223,1
gempa_0213,1
gempa_0246,1
gempa_0230,1
gempa_0235,1
gempa_0253,1
gempa_0262,1
gempa_0247,1
gempa_0285,1
gempa_0286,1
gempa_0279,1
gempa_0302,1
gempa_0296,1
gempa_0295,1
gempa_0316,1
gempa_0321,1
gempa_0318,1
gempa_0326,1
gempa_0328,1
gempa_0335,1
gempa_0346,1
gempa_0360,1
gempa_0363,1
gempa_0373,1
gempa_0378,1
gempa_0380,1
gempa_0397,1
gempa_0388,1
gempa_0393,1
gempa_0408,1
gempa_0417,1
gempa_0410,1
gempa_0441,1
gempa_0432,1
gempa_0436,1
gempa_0446,1
gempa_0450,1
gempa_0465,1
gempa_0480,1
gempa_0482,1
gempa_0467,1
gempa_0502,1
gempa_0491,1
gempa_0497,1
gempa_0511,1
gempa_0513,1
gempa_0517,1
gempa_0540,1
gempa_0528,1
gempa_0535,1
gempa_0560,1
gempa_0557,1
gempa_0563,1
gempa_0575,1
gempa_0583,1
gempa_0566,1
gempa_0603,1
gempa_0594,1
gempa_0586,1
gempa_0614,1
gempa_0624,1
gempa_0606,1
gempa_0636,1
gempa_0628,1
gempa_0637,1
gempa_0661,1
gempa_0654,1
gempa_0652,1
gempa_0672,1
gempa_0680,1
gempa_0671,1
gempa_0697,1
gempa_0689,1
gempa_0686,1
gempa_0720,1
gempa_0705,1
gempa_0718,1
gempa_0739,1
gempa_0728,1
gempa_0725,1
gempa_0751,1
gempa_0749,1
gempa_0748,1
gempa_0768,1
gempa_0771,1
gempa_0779,1
gempa_0797,1
gempa_0786,1
gempa_0794,1
gempa_0805,1
gempa_0818,1
gempa_0809,1
gempa_0832,1
gempa_0825,1
gempa_0838,1
gempa_0849,1
gempa_0856,1
gempa_0862,1
gempa_0875,1
gempa_0884,1
gempa_0877,1
gempa_0892,1
gempa_0902,1
gempa_0898,1
gempa_0907,1
gempa_0920,1
gempa_0921,1
gempa_0940,1
gempa_0937,1
gempa_0941,1
gempa_0956,1
gempa_0954,1
gempa_0951,1
gempa_0970,1
gempa_0975,1
gempa_0981,1
gempa_1000,1
gempa_0995,1
gempa_0997,1
gempa_1009,1
gempa_1003,1
gempa_1013,1
gempa_1025,1
gempa_1027,1
gempa_1029,1
gempa_1037,1
gempa_1034,1
gempa_1036,1
gempa_1046,1
gempa_1044,1
gempa_1052,1
gempa_1074,1
gempa_1075,1
gempa_1059,1
gempa_1078,1
gempa_1091,1
gempa_1086,1
gempa_1117,1
gempa_1109,1
gempa_1105,1
gempa_1132,1
gempa_1118,1
gempa_1126,1
gempa_1146,1
gempa_1157,1
gempa_1138,1
gempa_1176,1
gempa_1173,1
gempa_1168,1
gempa_1183,1
gempa_1196,1
gempa_1192,1
gempa_1214,1
gempa_1205,1
gempa_1201,1
gempa_0518,1
gempa_0040,1
gempa_1061,1
gempa_1097,1
gempa_0843,1
gempa_0506,1
gempa_0871,1
gempa_0615,1
gempa_0967,1
gempa_0258,1
gempa_0137,1
